"Title","Main Image","Object ID#","Category","Student","Author/Creator","Date","Associated Place","Collection","Held At","Medium","Size","Description","Image Ready for Gibson"
"Buffalo Hunt on Snow Shoes/Winter on the Northern Prairies",,"1925-07-3","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph","18 3/4"" length x 23 3/4"" width","Lithograph printed by Currier & Ives, 152 Nassau St., New York City, NY after the original painting by George Catlin. Pictures a lone Native American hunter on snow shoes in center with spear appraching two buffalo who are floundering in the snow.  A wounded bull is in right foreground bleeding profusely.  Two other hunters pursue the herd in the background up a snowy slope.","Yes"
"Dying Buffalo Bull/Deadly Effect of the Indian Arrow",,"1925-07-4","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph","18"" length x 21 3/4"" width","Lithograph printed by Currier & Ives, 152 Nassau St., New York City, NY after the original painting by George Catlin.  Pictures a wounded bull facing right.  It is bleeding from the nose and wounded in the side.  Grey winter landscape surrounded buffalo.","Yes"
"Prairie Wolfes Attacking a Buffalo Bull/Taking Breath",,"1925-07-5","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph",,"Lithograph printed by Currier & Ives, 152 Nassau St., New York City, NY after the original painting by George Catlin. Picture of buffalo encircled by pack of wolves in front of a hill on which the rest of the buffalo herd grazes.  Two wolves have been wounded and are laying on the ground bleeding.","Yes"
"Game of the Arrow/Archery of the Mandan Indians - Headwaters of the Missouri",,"1925-07-6","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph","19"" length x 23 3/4"" width","Lithograph printed by Currier & Ives, 152 Nassau St., New York City, NY after the original painting by George Catlin.  Picture of large group of male Native American standing together.  Some in background on horseback.  Men at front of group shootin arrows into the air.","Yes"
"The Snow Shoe Dance/To Thank the Great Spirit for the First Appearance of Snow",,"1925-07-7","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph","19"" length x 23 3/4"" width","Lithograph printed by Currier & Ives, 152 Nassau St., New York City, NY after the original painting by George Catlin. Picture of circle of Chippewa Indians on snow shoes with feather headdresses and holding clubs, spears and bows.  All of the dancers wear fur leggings, tunics and moccasins but their chests are bare.  They dance around a group of spears stuck into the ground to which feathers and a pair of snow shoes are tied.","Yes"
"The Indian Bear Dance/Invoking the Aid and Protection of The Bear Spirit",,"1929-13-8","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph","19"" length x 24"" width","Printed in New York City by Currier & Ives 152 Nassau St. New York City, NY after the original painting by George Catlin.  Pictures a group of Native American males dancing in a circle.  Some of the men are wearing bear skin heads as headdresses.  Many others have feathers in their hair.  Their skin is covered in painted decoration and many wear fur loin clothes.","Yes"
"Wild Horses at Play on the American Prairies/The Rocky Mountains in the Distance",,"1929-13-9","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph","16 1/2"" length x 19 1/4"" width","Printed in New York City by Currier & Ives 152 Nassau St. New York City, NY after the original painting by George Catlin.  Pictures a herd of wild horses running in different directions on an open grassy field.  Large mountain is in the background.","Yes"
"The Indian Ball Play (Choctaw)",,"1929-13-7","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph","19"" length x 24"" width","Printed in New York City by Currier & Ives 152 Nassau St. New York City, NY after the original painting by George Catlin. Pictured are hundreds of Native American males holding lacrosse like sticks and running around in game play.  Two large goals have been erected.  One in the left foreground and the other in the right background.   Spectators are visible in the background along the edge of the playing field.","Yes"
"Ball Play Dance by the Choctaw Indians West of the Mississippi",,"1929-13-6","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph","19"" length x 24"" width","Printed in New York City by Currier & Ives 152 Nassau St. New York City, NY after the original painting by George Catlin.  Pictures the ceremony of erecting the goal posts prior to a match.  Two teams of Native American men stand around holding their sticks.  Groups of Native American women are in rows facing each other.  Team standing on the rigth has their bodies painted white.","Yes"
"Indian Ball Players",,"1929-13-5","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph","13 3/4"" length x 18"" width","Color lithograph print, image by George Catlin (1796-1872) depicting three Native Americans in their respective tribal uniform each holding a lacrosse stick. Caption below identifies men from left to right: A Choctaw: ""Tul-Lock-Chish-Ko; A Sioux: Wee-Chush-Ta-Doo-Ta; and A Sioux:  Ah-No-Je-Nahge""  below that the title ""Indian Ball Players""","Yes"
"Buffalo Hunt under the White Wolf Skin/An Indian Stratagem on the Level Prairies",,"1929-13-4","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph",,"Printed in New York City by Currier & Ives 152 Nassau St. New York City, NY after the original painting by George Catlin.  Pictures two young Native American men crawling on the grass covered in wolf skins.  A large herd of buffalo is in front of them stretching into the distance.","Yes"
"Indian Buffalo Hunt/Close Quarters",,"1929-13-3","Made by Students","George Catlin/Maker","George Catlin (1796-1872)","1830-1838",,,"Litchfield Historical Society","lithograph","18 7/8"" length x 24"" width","Printed in New York City by Currier & Ives 152 Nassau St. New York City, NY after the original painting by George Catlin.  Pictures three Native Americans on horseback attacking a buffalo in foreground.  Native American on left wear a blue loin cloth and moccasins.  He is straddling a white horse and a buffalo.  The wounded buffalo is butting the horse.  Native American in center faces left and is attempting to finish off buffalo at left.  He rides a brown horse.  Native American on right wears buckskin leggings and is riding a piebald horse.  He is shooting a buffalo on right.  There are other Native American in background pursuing buffalo up the side of a gully.","Yes"
"Watchpaper",,"Watchpaper 1","Made by Students","Nancy L. Johns/Maker","Nancy L. Johns","1816-1819","Litchfield, CT",,"Litchfield Historical Society","watercolor on paper",,"Small round watchpaper.  Painted on front is a music book open with a leather bound book painted over the center.  Garlands of pink and blue flowers surround the two books.  ","Yes"
"Watchpaper",,"Watchpaper 2","Made by Students","Mary Bassett Clarke/Maker","Mary Bassett Clarke","1823-1824","Litchfield, CT",,"Litchfield Historical Society","watercolor on paper",,"Watch paper of black bird with a bright pink under belly and pink head sitting on tree branch.  Edges of paper are bent and frayed. ","Yes"
"Drawing",,"Ink Sketch 1","Made by Students","Mary Bassett Clarke/Maker","Mary Bassett Clarke","1823-1824","Litchfield, CT",,"Litchfield Historical Society","Ink on paper",,"Small rectangular ink sketch.  Sheep sitting under a tree with a ram standing nearby.   ","Yes"
"Sketchbook",,"1951-03-2","Related Artwork","Anson Dickinson/Maker","Anson Dickinson (1779-1852)",1806,,,"Litchfield Historical Society","watercolor, ink and pencil on paper","8 3/4"" length x 7 1/4"" width","Sketch book of Anson Dickinson.  Bound book but front and back cover missing.  Pages filled with drawings, sketches and watercolor paintings of figures and scenes.  ","Yes"
"Augustus Aurelian Lord","Main Image","1938-01-77","Images of People","Augustus Aurelian Lord/Photograph of ",,"ca. 1850","Litchfield, CT",,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of Augustus Lord.  The image captures him from the waist up.  His head is tilted to the right and he is looking downward.  He has dark hair which is grown out past his ears.   He wears a dark suite with a white shirt and dark tie. ","Yes"
"Erastus and Charlotte Lord","Main Image","1938-01-80","Images of People","Erastus Lord/Portrait of ; Charlotte Dorman Lord/Photograph of ",,"ca. 1850-1860","Litchfield, CT",,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of Erastus and Charlotte Lord.   Charlotte is seated on the left and Erastus is seated on the right.  The image captures the couple from the waist up.   Charlotte is wearing a plain dress with a lace collar and white lace bonnet.  Erastus is wearing a dark jacket with a patterned vest, white shirt and dark tie.  There is some decomposition along the edges of the image. ","Yes"
"Wallet",,"1995-15-2","Tools of a Profession","Erastus Lord/Maker","Erastus Lord","ca. 1822-1838","Litchfield, CT",,"Litchfield Historical Society","leather and brass","3 1/4"" length x 6 5/8"" width","Brown calf skin tri-fold wallet, embossed stap inside: ""E.A. Lord/ Maker/ Litchfield, Conn."" Plain, no stamp decotation, brass buckle claspe half broken off.","Yes"
"Card Case",,"2003-51-1","Tools of a Profession","Erastus Lord/Maker","Erastus Lord","ca. 1822-1838","Litchfield, CT",,"Litchfield Historical Society","leather and paper",,"Small green leather card case.  Cardboard box in center covered in marblized paper.  Box is open on one side to hold cards.  Leather exterior wraps around box and closes with small flap.  Exterior decorated with gold embossed design.  Stamped ""E.A. Lord/Maker/Litchfield, Conn."" ","Yes"
"Ozias Seymour","Main Image","Ozias Seymour","Images of People","Ozias Seymour/Portrait of ",,"ca. 1860",,,"Litchfield Historical Society","Tintype",,"Tintype of a portrait miniature of Ozias Seymour.  The tintype has been slightly hand colored.  Ozia is shown facing to the left.  He wears a dark jacket, vest and cravat with a white shirt.  He has dark curly hair.  ","Yes"
"Salima Storrs Seymour","Main Image","Salima Seymour","Images of People","Salima Storrs Seymour/Portrait of ",,"ca. 1880",,,"Litchfield Historical Society","Photograph",,"Photograph of an early painting or sketch of Salima Storrs Seymour.  She is shown as a young girl.  She is facing to the left.  She wears an Empire waist dress with low scoop neckline.  Her hair appears to be cut short around her head.  ","Yes"
"Candace Catlin Woodruff","Main Image","Candace Woodruff","Images of People","Candace Catlin Woodruff/Portrait of ",,"ca. 1880",,,"Litchfield Historical Society","Photograph of a portrait miniature",,"Photograph of an earlier portrait miniature or painting of Candace Catlin Woodruff.  The photograph is oval shaped and shows the head and shoulders of the sitter.  She is wearing a dark dress with a large white lace collar.  She also had a white lace bonnet on her head.  Her hair is curled along the sides of her head.  She has dark hair and dark eyes.  ","Yes"
"Mary Marsh Seymour","Main Image","Mary Seymour","Images of People","Mary Marsh Seymour/Portrait of ",,"ca. 1880",,,"Litchfield Historical Society","Photograph of portrait miniature or oil painting",,"Photograph of an earlier portrait miniature or painting of Mary Marsh Seymour.  She is seated in a chair facing to the right.  The back of the chair is covered in a shawl.  She wears a black dress with a high waist.  A gold pin is secured at the waist band.  She wears a lace collar tucked into the neckline of her dress and a white lace bonent on her head.  Her hair is curled along the sides of her face. ","Yes"
"Caroline of Litchfield",,"PC1","Made by Students","Rebecca Adams Perkins/Maker","Rebecca Adams Perkins (1792-1868)","1800-1810","Litchfield, CT",,"Private Collection","Silk and watercolor on silk",,"Silk embroidery of a young woman sitting under a tree.  There is a white dog to her right.  She is wearing a white dress with a blue sash and straw hat with a white feather.  The background is filled with a country landscape.  Glass of frame has eglomise painting in black and gold.  Written on bottom in gold lettering ""Caroline of Litchfield/Wrought by Rebeca Adams""","Yes"
"Caroline of Litchfield",,"PC2","Made by Students","Sarah Worthington Goodrich/Maker","Sarah Worthington Goodrich (1806-1856)",1825,"Litchfield, CT",,"Private Collection","Silk and watercolor on silk",,"Silk embroidery of a young woman sitting under a tree.  There is a white dog to her right.  She is wearing a white dress with a matching sash.  She also wears a black hat with a white feather.  The background is filled with a country landscape.  The embroidery has a circular shape and is completed on white silk.  Stitched underneath the image is ""Caroline of Litchfield"" in gold thread","Yes"
"The Cottage Girl",,"PC3","Made by Students","Ruth Atwater Cooke/Maker","Ruth Atwater Cooke (1788- )",1793,"Litchfield, CT",,"Private Collection","Silk and watercolor on silk",,"Silk embroidery of a young girl, dressed in peasant clothing holding a sheath of wheat.  She carries a basket in her right hand.  The features of her face are drawn in ink.  There is a cottage in the background on the right hand side.  The remainder of the background is a country landscape.  The body of the embroidery is done in a circle shape.  There is a garland of flowers swagged above the image and a spray of flowers in each lower corner.  ","yes"
"School Bell",,"ca1890-61-0","Buildings","Sarah Pierce/Owner","James Doolittle for Ward, Bartholomew & Brainard",1828,"Hartford, CT",,"Litchfield Historical Society","brass","51 1/2"" diameter of base x 16"" height","Caste brass bell.  Originally hung at the Litchfield Female Academy School building.  Made in Hartford, CT.  ","Yes"
"Tapping Reeve","Main Image","Tapping Reeve","Images of People","Tapping Reeve/Portrait of ",,1820,"Litchfield, CT",,"Litchfield Historical Society","Lithograph",,"Lithograph of Tapping Reeve.  Shows older gentleman seated in an upholstered chair with legs crossed.  He holds a pair of eyeglasses in one hand and an open book on his lap.  A bookshelf full of books is behind him.  ","Yes"
"Benjamin Tallmadge",,"1986-17-1","Images of People","Benjamin Tallmadge/Portrait of ","John Ramage (1748-1802)",1783,"New York",,"Litchfield Historical Society","watercolor on ivory","2"" length x 1 9/16"" width","Portrait miniature of Benjamin Tallmadge in Revolutionary War uniform.  Oval bust-length portrait with Tallmadge facing slightly left.  He has short grey hair and wear a deep-blue coat with red lapels on a shaded green field. ","Yes"
"Lewis Bartholomew Woodruff","Main Image","LBW Photo","Images of People","Lewis Bartholomew Woodruff/Photograph of ",,"ca. 1860","Litchfield, CT",,"Litchfield Historical Society","photograph",,"Black and white photograph of Lewis Bartholomew Woodruff.  He is seated with his legs crossed.  A table draped in fabric is to his right.  His hand rests on an open book.  He wears a dark suit and tie with a white shirt. ","Yes"
"James Gould","Main Image","Engraving of Gould","Images of People","James Gould/Portrait of ",,"ca. 1805",,,"Litchfield Historical Society","engraving",,"Engraving of James Gould.  Captures head and shoulders of sitter.  Gould wears a powdered wig.  He has a dark jacket and white shirt with ruffled cravat.  ""James Gould"" printed underneath image. ","Yes"
"Document Box",,"1995-10-1","Tools of a Profession","Lewis Bartholomew Woodruff/Owner",,"ca. 1850",,,"Litchfield Historical Society ","Tin, paint","9 1/2"" length x 4 1/8"" width x 2 5/8"" height","Painted tin, or toleware, document, letter or deed box.  Rectangular shaped box, with fold-over hinged lid with hinged latch. Painted black, top decorated with gold band around outside, red line and other gold line decoration. Gold lines outlining on all four sides, front side with gold block style capital lettering ""L. B. WOODRUFF"" for Lewis B. Woodruff ","Yes"
"Set of Dominoes",,"1916-02-9","Made by Students","Lewis Bartholomew Woodruff/Maker","Lewis Bartholomew Woodruff (1809-1875)","ca. 1820-1825","Litchfield, CT",,"Litchfield Historical Society","pewter, wood","Case - 8"" length x 2"" width x 1 1/2"" height    Domino - 1 1/4"" length x 3/4"" width","Set of pewter dominoes in wooden case.  28 dominoes.  Rectangular wooden box with sliding lid.  Written on bottom of box ""Made by Lewis B. Woodruff, when a boy 1820-1825""","Yes"
"Maryann Bacon Whittlesey",,"1941-02-3","Images of People","Maryann Bacon Whittlesey/Portrait of ",,"ca. 1800-1810","Roxbury, CT or Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory","1 3/4"" length x 1 3/8"" width","Portrait miniature of watercolor on ivory.  Blue background.  Young girl with bangs and long brown hair, blue eyes, red lips, facing front in a 3/4 pose.  Green dress with scoop neck, white lace ruffle over green ruffle.  Under glass in gold case with art border on back, ring at top holds ribbon.  Black leather album case with red velvet interior, 2 brass hooks to close.","Yes"
"Scrapbook",,"Emily Noyes Vanderpoel scrap book","Related Artwork","Emily Noyes Vanderpoel/Maker","Emily Noyes Vanderpoel (1842-1939)","ca. 1890-1910","Litchfield, CT",,"Litchfield Historical Society","paper",,"Scrapbook created by Emily Noyes Vanderpoel during the years she was compiling research for her book Chronicles of a Pioneer School.  It includes letters from descendants of Litchfield Female Academy students with biographical information as well as newspaper clippings advertising the book once it was published in 1903.  ","Yes"
"Emily Noyes Vanderpoel","Main Image","Emily Noyes Vanderpoel photo","Images of People","Emily Noyes Vanderpoel/Portrait of ",,"ca. 1920","New York City, NY",,"Litchfield Historical Society","photograph",,"Photograph of Emily Noyes Vanderpoel in her New York City apartment.  She is standing next to a fireplace wearing a silk kimono.  ","Yes"
"Congregational Church",,"ca1890-02-72","Related Artwork","Emily Noyes Vanderpoel/Maker","Emily Noyes Vanderpoel (1842-1939)",1893,"Litchfield, CT",,"Litchfield Historical Society","Ink on paper",,"Ink sketch of First Congregational Church of Litchfield by Emily Noyes Vanderpoel.  Copied by Vanderpoel from the original sketch by Litchfield Female Academy student Mary Ann Lewis.  Sketch shows profile of building with spire of church at front of buidling.  Large window in center of side with arched top (above where pulpit would have stood inside building)  Six windows on each side of center window - three on second floor and three on first.  Framed under glass","Yes"
"Landscape with Old Pine Tree and Ruined Tavern Just Beyond Bantam",,"1918-03-32","Related Artwork","Emily Noyes Vanderpoel/Maker","Emily Noyes Vanderpoel (1842-1939)","October 20, 1891","Bantam, CT",,"Litchfield Historical Society","watercolor on paper","11 7/8"" length x 9 1/8"" width"," Watercolor on paper of Bradley Tavern in the Bantam section of Litchfield.  Vertical composition consisting of one tall pine tree on the left and an older building with a chimney on the right.  Bradley Tavern was often frequented by Litchfield Female Academy and Litchfield Law School students who would take carriage or sleigh rides out to the tavern to enjoy socializing and music.  ","Yes"
"Litchfield Female Academy",,"ca1900-06-3","Buildings","Sarah Pierce/Owner","Emily Noyes Vanderpoel (1842-1939)",1896,"Litchfield, CT",,"Litchfield Historical Society","ink on paper",,"Ink on paper of Litchfield Female Academy building - two story building with bell in bell tower.  The building has a gable end facing on west side of North St.  It has a fan light in gable and door on east side of building.  There is a brick chimney on west end.  The picket fence runs on back side of side walk.  This is a copy of an original ink sketch by Z.S. Webber which is also in the collection of the Litchfield Historical Society. ","Yes"
"Edgar Simeon Van Winkle","Main Image","2004-09-3","Images of People","Edgar Simeon Van Winkle/Portrait of ",,"ca. 1840","New York City, NY",,"Litchfield Historical Society ","watercolor on ivory","8"" length x 7.25"" width","Gold frame, wide mat of green velvet with portrait in center of Edgar Simeon Van Winkle.  He is facing slightly left.  Wearing black suit, high collar and black cravat.  He has round glasses.  Brown hair with widow's peak and sideburns.","Yes"
"Brooch",,"1907-02-1c","Clothing & Personal Accessories","Elizabeth Canfield Tallmadge/Owner",,"ca. 1830",,,"Litchfield Historical Society","shell, gold","2"" length x 1 3/4"" width","Cameo of three dancing women.  Brooch is oval shaped set in gold.  Belonged to Elizabeth Canfield Tallmadge. ","Yes"
"Brooch",,"1907-02-2","Clothing & Personal Accessories","Elizabeth Canfield Tallmadge/Owner",,"ca. 1830",,,"Litchfield Historical Society","shell, gold","1 1/4"" length x 3/4"" width","Oval cameo brooch of Grecian woman's head, profile facing right.  Cameo set in gold. Belonged to Elizabeth Canfield Tallmadge","Yes"
"Chest of Drawers",,"1973-02-5","Furniture","Benjamin Tallmadge/Owner","Silas Cheney (1776-1821)",1811,"Litchfield, CT",,"Litchfield Historical Society","cherry wood","31"" height x 20"" depth x 42"" width","Three drawer bureau that was cut down from the bottom of a chest on chest.  One of a pair.  The location of the other bureau is unknown.  High bracket feet.  Quarter round fluted columns with thumb nail edges.  Round, cast brass pulls.  Key escutcheons on each drawer.  Top overhangs base of chest.","Yes"
"Teaset",,"1992-13-1","Furniture","Benjamin Tallmadge/Owner","Stephen Richard and William Adams","1828 and 1842","New York City, NY",,"Litchfield Historical Society","silver",,"Silver tea service. 
A) Tea pot - pedestal base, S-shaped protruding spout, ear shaped handle. Hinged lid with bouquest of roses and grapes as handle.  Monograms on side ""JBT/MFT/ENT"" On inside of lid, engraved ""John B. Trevor/Emily N. Trevor/Col. Benjamin Tallmadge/Henry Floyd Tallmadge/Mary F.T. Norwood"" On opposite side of pot ""Originally the property of Col. Benjamin Tallmadge 1784/BT/HFT"" Raised cornucopia, flowers, leaves in bands along base, rim and top of body.
B) Creamer - pedestal base, handle and spout as above. Decoration and monograms as above
c) Sugar bowl - Pedestal base, two handle on either side. Decorations and engraving as on A & B.  Inside of lid ""Silver Tea Set/Belonging to Col. Benjamin Tallmadge/Made of Mexican Dollars""
d) Waste Bowl - shape and decoration same as A,B,C.  No handle","Yes"
"Elihu Hubbard Smith","Main Image","2009-21-1","Images of People","Elihu Hubbard Smith/Portrait of ","James Sharples (1751-1811)",1791,"New York City, NY",,"Litchfield Historical Society","pastel on paper","12 1/2"" height x 10 5/8"" width","Pastel portrait of Elihu Hubbard Smith.  Portrait shows profile of Smith from waist up.  Wearing brown coat, white shirt, vest and cravat.  Smith has short hair cut with longer pieces at neckline.  Background shades of blues and greens.  White mat board, pastel under glass.  Wood frame treated with bronze/metallic colored paint.","Yes"
"Moses Seymour, Jr.","Main Image","1988-01-1","Images of People","Moses Seymour, Jr./Portrait of ",,1825,"Litchfield, CT",,"Litchfield Historical Society","watercolor on ivory",,"Portrait miniature, watercolor on ivory of Moses Seymour, Jr.  Bust portrait.  Man facing slightly right.  Wears blue late-18th c. coat, white shirt and white collar.  Reddish-brown hair, brown eyes.  Background pink fading up to white.  Miniature framed in gold, mounted in black wooden frame.","Yes"
"Moses Seymour","Main Image","1952-03-1","Images of People","Moses Seymour/Portrait of ","Anson Dickinson (1779-1852)",1825,"Litchfield, CT",,"Litchfield Historical Society ","watercolor on ivory","3 3/16"" height x 2 9/16"" width","Watercolor on ivory portrait miniature of Moses Seymour.  The miniature is a bust length portrait of an older man with white heair and brown eyes.  He is wearing a black coat with white shirt and cravat.  The miniature is housed in a red leather case with two brass hooks and white silk lining.  ","Yes"
"Knife Boxes",,"1929-02-17 a,b","Furniture","Tapping Reeve/Owner",,"ca. 180",,,"Litchfield Historical Society","mahogany, cherry and pine wood, brass","15"" height x 8 3/4"" width x 10 1/2"" depth","Knife boxes with bow fronts, slanted tops.  Stand on three feet, one in front, two in back.  Brass keyhole in front, below the lid closure.  Top has inlaid patterae design.  Inside the boxes are slots for holding knives.  Interior is of pine.  Exterior of mahogany with cherry inlay.  They are attributed to Silas Cheney but not mentioned in his account books. ","Yes"
"John Pierpont","Main Images","1938-01-86","Images of People","John Pierpont/Photograph of ",,"ca. 1850",,,"Litchfield Historical Society","daguerreotype",,"Daguerreotype of John Pierpont.  He is an older man with longer white hair.  He is wearing a dark suit jacket, white shirt and white tie.  ","Yes"
"Boaz, Ruth, and Naomi",,"ca1900-29-0","Related Artwork","Sarah Pierce/Maker","Sarah Pierce",1801,"Litchfield, CT",,"Litchfield Historical Society","pencil on paper","9 1/2"" length x 14 3/4"" width","A very rough drawing of four full-length figures.  The left one in rich robes, the next dressed as a farmer with a hand scythe held dangerously over his left arm, and a kneeling figure holding a sheaf of wheat.  On far right, another female figure.  This drawing was done to illustrate Miss Pierce's play ""Ruth.""  Framed under glass","Yes"
"Ephraim Kirby","Main Image","1969-03-1","Images of People","Ephraim Kirby/Portrait of ",,"1801-1802",,,"Litchfield Historical Society","watercolor on ivory","2 1/2"" height x 2"" width","Portrait miniature of watercolor on ivory of Ephraim Kirby.  Image of man in middle years with receding brown hair with widow's peak, dark gray eyes, and very dark brows only slightly arched.  Long nose and oval face with rather weak chin.  Facing slightly right with white stock and high collared black coat.  Background is shaded from brown to ivory from shoulders.","Yes"
"Thomas Collier","Main Image","1929-06-1","Images of People","Thomas Collier/Portrait of ",,"ca. 1825","Litchfield, CT",,"Litchfield Historical Society","oil on canvas","27 1/4"" height x 32 1/2"" width","Portrait of Thomas Collier.  Oil on canvas painting, 1/4 length portrait of an older gentleman facing slightly right.  Long wavy thinning gray hair, balding in front, blue eyes, ruddy complexion with strong/prominent features. He wears a black jacket and white high collar with tied cravat.  He is seated in a red upholstered chair, and the top of a silver mounted can is visible in the front foreground.  ","Yes"
"Elizabeth Stockwell Collier ","Main Image","1929-06-2","Images of People","Elizabeth Stockwell Collier/Portrait of ",,"ca. 1825","Litchfield, CT",,"Litchfield Historical Society ","oil on canvas","27 1/4"" length x 23 1/2"" width","Oil on canvas rectangular 1/4 length portrait of  middle age or older woman, Mrs. Thomas Collier, (Elizabeth Stockwell) (1761-1829).  Wearing a black dress, a two tiered white lace collar and a white lace cap tied at her chin. She is seated in a red upholstered chair, and faces slightly to the left.","Yes"
"Wash Table",,"1923-01-2","Furniture","Mabel Ruggles Canfield/Owner",,"ca. 1800","New Milford, CT",,"Litchfield Historical Society","mahogany, pine and tulip woods, brass","33.5"" height x 12"" square","Mahogany wood washstand;  Top of stand has circular hole cut out for wash bowl to rest in; divets in two corners around hole; scalloped edge underneath the top on each side; center of stand has single drawer with brass drawer pull; four thin legs, no turnings; brace at bottom of stand to stabalize legs","Yes"
"The Cottage Girl",,"1992-18-3","Related Artwork",,"J. LePetit",1799,"London, England",,"Litchfield Historical Society","lithograph","20 3/4"" length x 16 3/4"" width","Aquatint depicts girl of about 10 or 12 years of age wearing calf length white dress with scoop neck.  Short sleeves, and red and blue coat.  She is bare foot and holds a basket of cloths and flowers in her right hand.  With her left hand she holds a bundle of sticks to her chest.  In background on right is a building with cross paned windows.  A person stands at the fence.  Three large trees are in left background.  Print framed under glass.  Lithographs like this one were used by students at the Female Academy to create watercolor drawings and needlework embroideries.  ","Yes"
"The Wood Boy",,"1992-18-4","Related Artwork",,"J. LePetit",1799,"London, England",,"Litchfield Historical Society","lithograph","20 3/4"" length x 16 3/4"" width","Aquatint depicts a boy of about 10 or 12 years of age wearing a white collar, blue vest, red jacket and brown knee pants.  The knee pants are patched at the knees and left thigh.  He is barefoot.  He holds a bundle of sticks over his head in his right hand.  He holds one stick at this side with his left hand.  On the right in the background is a forst. On the left is a cottage in the distance.  Framed under glass.  
Printed along bottom of print ""The Wood Boy/London Published June 25, 1799 by J. Le Petit, No. 22 Suffolk Street, Middlesex Hospital""  Lithographs like this one were used by students at the Female Academy to create watercolor drawings and needlework embroideries.  ","Yes"
"Mourning Dress",,"1971-28-0","Clothing & Personal Accessories","Unknown",,"ca. 1850",,,"Litchfield Historical Society","cotton",,"Black mourning dress; thin, almost transparent fabric; short sleeves; top of silk and wool material with two rows of like material sewn on with piping and hemmed at edges; off the shoulder neckline;  hook and eyes down back; lined with glazed cotton; pleated at waist in front and back; seven whale bone stays in lining; skirt gathered at waist; bell shaped; bottom bound with black woven tape.  The donor of the dress said the garment originally belonged to a woman from Simsbury who attended the Litchfield Female Academy.  ","Yes"
