id,name,unique_name,other_name,gender,room_and_board,home_town,home_state,home_country,born,died,other_education,admitted_to_bar,training_with_other_lawyers,federal_committees,state_committees,biographical_notes,citation_of_attendance,image_id,secondary_sources,additional_notes,private_notes,benevolent_and_charitable_organizations,quotes,political_parties,professions,residences,government_posts,marriages,LLS,LFA,materials,relations
7643,Clara Alexander Freeman,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7644,Hitchcock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7645,Reuben Hatch,,,M,,,,,,,,,,,,,,,,,,,,,Religious Calling,,,,,,,
7646,Eunice Hatch,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7647,Susan Clarke,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7648,Katharine Thorp,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7649,Annie Tryon-Taylor Whittlesey,,Annie Miranda Tryon-Taylor,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7650,Sarah Watkins Gould,,Sarah Henrietta Charity Watkins,F,,,,,1815,1874,,,,,,Sarah and Robert married in London and had seven children.,,,,,,,,,,,,,,,,
7651,Sarah Davis Gould,,Sarah David,F,,,,,1830,1881,,,,,,Sarah and Robert had two children.,,,,,,,,,,,,,,,,
7652,Elizabeth Page Gould,,,F,,,,,ca. 1818,,,,,,,"Elizabeth Page Gould was Robert Howe Gould's third wife. Together they had three children. She was widowed in their home in Nelson, New Zealand, in 1888.",,,,,,,,,,,,,,,,
7653,Richard Hall,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7654,Mary Beech Hall,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7655,Adna Curtiss,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7656,Almira Curtiss,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7657,Cornelia Curtiss Deming,,Cornelia Wadsworth Curtiss,F,,,,,,,,,,,,"Cornelia Curtiss Deming was the daughter of Peter and Eliza Wadsworth Curtiss. Cornelia was married to Frederic Deming of Farmington, Connecticut, and during her lifetime established a successful catering business. After Cornelia's death the business was managed by her daughter, Gertrude Deming Biesenthal. The business remained in operation into World War II. ",,,,,,,,,,,,Frederic Deming/,,,,
7658,Frederic Deming,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7659,Julia Gould Hunter,,Julia Tracy Gould,F,,Augusta,GA,United States,1829,,,,,,,"Julia Gould Hunter was born in 1829 to William Tracy Gould and his wife Anna McKinne Gould. One of three children to be born during the marriage, Julia was raised in Augusta, Georgia. On November 5, 1850 she was wed to William Hunter in Richmond, Georgia.",,Julia Gould Hunter.jpg,,,,,,,,,,,,,Julia Gould Hunter Photograph,
7660,James Carroll,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7661,Mary Giles Carroll,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7662,Mary Barger Jones,,Mary Barger,F,,,PA,United States,"May 17, 1767","January 6, 1839",,,,,,"Mary Barger Jones was born in Pennsylvania on May 17, 1767. On February 11, 1791 she married John Rice Jones in the town of Vincennes in the Northwest Territory (later Indiana Territory and currently the state of Indiana). During their thirty-three year marriage the couple had eight children. Around 1808 the Jones family relocated to Kaskasia, the seat of government of the newly formed Illinois Territory. Two year later they moved to St. Genevieve in the Louisiana Territory, then headed to St. Louis, and finally settled in Mine a Breton in the Louisiana Territory (later to be incorporated as the town of Potosi in the Missouri Territory). It was in Potosi that Mary Barger Jones spent in last year of her life. She died there on January 6, 1839. ",,,,,,,,,,Vincennes/Northwest Territory/United States;Kaskaskia/Illinois Territory/United States;St. Genevieve/Louisiana Territory/;St. Louis/Louisiana Territory/;Mine a Breton/Louisiana Territory/;Potosi/Missouri Territory/,,,,,,
7663,Samuel Adams,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7664,Eunice Adams Masters,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7665,Polly Adams Lamson,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7666,James Andrew Adams Cowles,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7667,William S. Cowles,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7668,Frances Cowles Nelson,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7669,Edward Elias Cowles,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7671,Samuel Adams (1706-1788),,,M,,New Milford,CT,United States,"May 3, 1706","November 12, 1788",,,,,,"Samuel Adams, born May 3, 1706, was a native of New Milford, Connecticut. Early in his life he relocated to Stratford, Connecticut, where he made a career as a lawyer and judge of the Fairfield County Court. On March 7, 1728 he married Mary Fairchild/ A few years before his death he removed to Litchfield adn assisted his son, the Honorable Andrew Adams, in his extensive law practice. Samuel Adams passed away in Litchfield on November 12, 1788.",,,,,,,,,,Stratford/CT/United States;Litchfield/CT/United States,,"Mary Fairchild Adams (1698-1803)/March 7, 1728",,,,
7672,Mary Fairchild Adams (1698-1803),,,F,,,,,,"August 29, 1803",,,,,,"Mary Fairchild Adams was born May 7, 1698. On March 7, 1728 he wed Samuel Adams, a lawyer and judge in Stratford, Connecticut. The couple later moved to Litchfield, Connecticut, where Samuel assisted his son Andrew with his extensive legal practice. Mary Fairchild Adams passed away in Litchfield on August 29, 1803 at the age of 105. ",,,,,"The Ledger will not accept an 18th century date as a 'correct format', which is why her birth date is not entered into the 'Born' line above.",,,,,Stratford/CT/United States;Litchfield/CT/United States,,,,,,
7673,Walter Dean Smith,,,M,,New Marlboro,MA,United States,"October 12, 1773","March 15, 1852",,,,,,"Walter Dean Smith, son of Ebenezer and Sarah Dean Smith, was born in New Marlboro, Massachusetts on October 12, 1773. Walter, a lawyer by profession, married his second wife, Hetty Bull Hosford in September 1806. The couple had two children, a daughter and son. Walter Dean Smith passed away on March 15, 1852.",,,,,,,,,Lawyer,Berlin/CT/United States;Hartford/CT/United States;New Haven/CT/United States,,Hetty Bull Hosford Smith/September 1806,,,,
7674,Hetty Bull Hosford Smith,,,F,,Berlin,CT,United States,"November 24, 1786","June 3, 1856",,,,,,"Hetty Bull Hosford, daughter of Amos and Esther Bull Hosford, of Berlin, Connecticut was born November 24, 1786. In September of 1806 she married Walter Dean Smith, Esq., of Hartford, Connecticut. The couple had two children during their marriage, a daughter and a son. Hetty Bull Hosford Smith passed away on June 3, 1856.",,,,,,,,,,Hartford/CT/United States;New Haven/CT/United States,,,,,,
7675,Andrew Hosford Smith,,,M,,Berlin,CT,United States,"May 30, 1812",,,,,,,"Andrew Hosford Smith was born in Berlin, Connecticut on May 30, 1812. His parents were Walter Dean and Hetty Bull Hosford Smith. Andrew spent the early years of his boyhood on a farm, and, when ten years of age, went to Hartford, Connecticut with his parents, and was there educated in the public schools. ",,,,,,,,,,,,,,,,
7676,Simeon Parsons Smith,,,M,,,,,"July 31, 1809","February 6, 1848",,,,,,"Simeon Parsons Smith was born July 31, 1809. On January 27, 1833 he married Hetty Hosford Smith of Hartford, Connecticut, and the couple had one child. After Hetty's death in 1840, Simeon married Eliza VanNess Lyle. He passed away in Baltimore, Maryland on Feburary 6, 1848.",,,,,,,,,,,,,,,,
7677,Jabez Bacon,,,M,,,,,,,,,,,,,,,,,,,,,,,,Lydia Huntington Bacon/,,,,
7678,Lydia Huntington Bacon,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7679,Roger Newton Whittlesey,,,M,,New Milford,CT,United STates,"February 24, 1754","March 15, 1835",,,,,,"Roger Newton Whittlesey, son of Rev. Samuel and Susannah Newton Whittlesey, was born in New Milford, CT on February 24, 1754. Roger was a farmer, and for a time a Justice of the Peace for Litchfield County. He also served as a soldier during the Revolutionary War. On April 20, 1775 he married Ann Woodruff, and the couple had thirteen children during their marriage. Roger passed away on March 15, 1835.",,,,,,,,,Agriculture;Military,Litchfield/CT/United States,"Local/Justice of the Peace//Litchfield County, CT","Ann Woodruff Whittlesey/April 20, 1775",,,,
7680,Ann Woodruff Whittlesey,,,F,,Litchfield,CT,United States,"April 5, 1756","March 7, 1825",,,,,,"Ann Woodruff Whittlesey was born April 5, 1756 to Jacob and Anne Griswold Woodruff of Litchfield, Connecticut. On April 20, 1775 she wed Roger Newton Whittlesey, a farmer originally from New Milford. During their marriage Ann and Roger had thirteen children. Ann passed away on March 7, 1825.",,,,,,,,,,,,,,,,
7681,Samuel Whittlesey (1713-1768),,,M,,Wallingford,CT,United States,"July 10, 1713","October 22, 1768",Graduated from Yale College in 1729,,,,,,,,,,,,,,Religious Calling,,,Susannah Newton Whittlesey Hamlin/,,,,
7683,Susannah Newton Whittlesey Hamlin,,,F,,,,,"January 14, 1716","May 10, 1803",,,,,,"Susannah Newton Whittlesey Hamlin was first married to Samuel Whittlesey. The couple had at least one son together, Roger Newton Whittlesey. After Samuel's death, Susannah married Jabez Hamlin.",,,,,,,,,,,,Jabez Hamlin/,,,,
7684,Jabez Hamlin,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7685,Jacob Woodruff,,,M,,,,,1717,,,,,,,,,,,,,,,,,,,"Anne Griswold Woodruff/December 31, 1741",,,,
7686,Anne Griswold Woodruff,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7687,Francis Potter,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7688,Cornelius Dubois (1810-1882),,,M,,,,,"April 4, 1810","May 5, 1882",Graduated from Columbia in 1828,New York City 1833,,,,"Cornelius Dubois was the son of the successful merchant and tobacco agent Cornelius Dubois and his wife Sarah Platt Ogden. Dubois was one of five children and received his early education at Louis Baucel's French Boarding School. He graduated from Columbia in 1828 and after attending the Litchfield Law School in 1830 and after being admitted to the bar in New York City in 1833, he became the partner of Edgar Van Winkle for four years. Due to his father's desire for him to join his tobacco agency so he could soon retire, Dubois gave up his legal practice in 1836 and joined his father's mercantile firm. When his father retired in 1840, he and his father's business partner, Issac A. Storm formed a new partnership. Dubois would later take a new partner and the firm became knowns as Dubois and Vandervoot.     He met his wife Mary Ann Delafied, the sister of of fellow Law School student John Delafield, in New York City and they took the stage back to Litchfield together. They married in 1832 and had 10 children. For over 30 years, they resided at 80 Gramercy Park in New York City. Dubois died in New York City and is buried in Marble Cemetery. ","Letter, 28 October 1830, Cornelius DuBois to Edgar Van Winkle (Litchfield Historical Society - Litchfield Law School Collection).",,,,,,"On October 28, 1830 wrote to to Edgar Van Winkle about 'an exhibition of the young ladies' Seminary in this place' where 'there were several very handsome and interesting young demoiselles.'     'I understand from Mrs. Reeves that all the marriageable young ladies have been married off, and that there is at present nothing but young fry in town, consequently that it will not be as gay as usual. The young ladies, she tells me, all marry law students, but it will take two or three years for the young crop to become fit for the harvest, you need apprehend no danger of my throwing up my bachlorship [sic].'     ",,Lawyer;Business,"West New-Brighton, Staten Island/NY/",,,1830,,,
7689,Cornelius Dubois (1771-1846),,,M,,,,,"May 20, 1771","September 8, 1846",,,,,,"Cornelius Dubois was the son of Peter Dubois and Maria VanVorhees, but was reared by his stepfather, Dr. Theodorus VanWyck. Cornelius was a wholesale grocer with Kip & Dubois, a tobacco importer, and a cigar maker.",,,,,,,,,Business,,,Sarah Platt Ogden Dubois/11 Apr 1803,,,,
7690,Sarah Platt Ogden Dubois,,,F,,,,,"January 24, 1782","March 15, 1836",,,,,,Daughter of Robert Ogden and Sarah Platt. ,,,,,,,,,,,,,,,,
7692,Samuel Ames,,,M,,Providence,RI,,"September 6, 1806","December 20, 1865","Attended Phillips Academy in 1819, and received a degree from Brown University in 1823.",Rhode Island in 1826,,,"Speaker of the State House of Representatives in 1844 and 1845. RI Representative to the 1865 Peace Conference in Washington, D.C.","Samuel Ames was the eldest son of Samuel and Anne Checkley Ames. He studied at Phillips Academy in Andover, Massachusetts in 1819 and graduated from Brown University in 1823. He then attended the Litchfield Law School in 1824. After he was admitted to the Rhode Island Bar in 1826, Ames opened a law office in Providence, Rhode Island, and in 1839 married Mary Door of Providence. In 1832 he assisted Joseph K. Angell in the preparation of his treatise on 'Corporation Law'. He served as quartermaster general for the state troops during the Dorr Rebellion (led by his wife's brother Thomas Wilson Dorr). Ames also played an active role in Rhode Island politics and not only served as a City Council member in Providence, but also served as a state representative in the Rhode Island General Assembly.","Catalogue of the Litchfield Law School (Hartford, CT: Press of Case, Tiffany and Company, 1848), 20. ",,"Lewis, William Draper. Great American Lawyers, Vol. 5. Philadelphia: The John C. Winston Company, 1908.     Payne, Abraham. Reminiscences of the Rhode Island Bar. Providence, RI: Tibbitts and Preston, 1885.   ","He was the co-author of Reports of Cases Argued and Determined in the Supreme Court of Rhode Island, 1828-1887, and was the author of Rhode Island Rebellion, 1842 Extracts from Newspapers; Robert H. Ives vs. Charles T. Hazard (and others) Opening argument for Complainant ",,,,,Lawyer;Political Office;Business,,"State/State Representative//Rhode Island;State/Chief Justice/of the Supreme Court/Rhode Island;Local/City Council//Providence, RI",,1824,,,
7693,Thomas Smith Webb Mott,,,M,,Preston,Nova Scotia,Canada,"July 28, 1800","September 20, 1869",,,,,,"Thomas Smith Webb Mott was born in Preston, Nova Scotia on July 28, 1800 to John Mott, a farmer, and his wife, Deborah Webb, who was originally from Massachusetts. In 1822 he attended Brown University, and after the completion of his degree was ordained as an Episcopalian minister. He was the first editor of the Episcopalian Newspaper 'The Church Intelligencer.' He served parishes in Massachusetts, Georgia, Mississippi and then relocated to North Carolina where he had a long and successful career. In addition, he established and taught at several schools, including St. Johns in the Wilderness in Flatrock, NC. On June 29, 1833 he was married to Susan Amanda Phillips. The couple had at least three sons during their marriage, all of which pursued medical careers. ",,,,,,,,,,Halifax/Nova Scotia/Canada;/MA/United States;/NC/United States,,"Susan Phillips Mott/June 29, 1833",,,,
7694,Susan Phillips Mott,,Susan Amanda Phillips,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7695,Rosa Stiles Caperton,,,F,,,,,,,,,,,,,,,,Rosa was first married to R.H. Christian. Her second marriage was to William Gaston Caperton.,,,,,,,,R.H. Christian/;William Gaston Caperton/,,,,
7696,Catharine Stiles Newton,,,F,,,,,,,,,,,,,,,,,,,,,,,,"Hubert A. Newton/April 14, 1859",,,,
7697,Josephine Clifford Stiles,,,F,,,,,,,,,,,,"Josephine Clifford Stiles was the daughter of Litchfield Law School student Joseph Clay Stiles. Josephine took on the task of teaching her brother Eugene's children in their early years. Later most of the children were taken in by Stiles relatives in Connecticut, New Jersey, and Pennsylvania and received additional education.",,,,"Josephine Clifford Stiles is buried in Hollywood Cemetery in Richmond, VA.",,,,,,,,,,,,
7698,Robert Augustus Stiles,,,M,,,,,,,,,,,,,,,,"Robert Augustus Stiles is buried in Hollywood Cemetery in Richmond, VA.",,,,,,,,,,,,
7699,Randolph Riley Stiles,,,M,,,,,,,,,,,,Randolph Riley Stiles is the son of Litchfield Law School student Joseph Clay Stiles. ,,,,"Randolph Riley Stiles fell to his death from a waterfall near Shawsville, VA and is buried in Hollywood Cemetery in Richmond, VA.",,,,,,,,,,,,
7700,Mary Evelyn Stiles,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7701,Eugene West Stiles,,,M,,,,,,,,,,,,"Eugene West Stiles was the son of Joseph Clay Stiles, a student of the Litchfield Law School in 1817. Stiles was married twice during his lifetime. His first wife was Caroline B. Anderson of Shawsville, Virginia. Stiles' second wife was Rosabel Bolling of Montgomery County ,Virginia. Following his second marriage Eugene acquired a farm in Seneca Hollow, Virginia. Throughout his life he served as a minister and also worked as a farmer, and had nine children (one from his first marriage, and eight from his second). He was a veteran of the Confederate Army and attended the 50th reunion at Gettysburg. He and his wife Rosabel are buried in Sunset cemetery in Christansburg, Virginia. ",,,,,,,,,,Shawsville/VA/United States;Seneca Hollow/VA/United States,,Caroline Anderson Stiles/;Rosabel Bolling Stiles/,,,,
7702,R.H. Christian,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7703,William Gaston Caperton,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7704,Hubert A. Newton,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7705,Andrew Brooks Stevens,,,M,,,,,"November 27, 1818",,,,,,,,,,,,,,,,,,,,,,,
7706,Cythnia Maria Stevens,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7707,Margaret Elizabeth Warwick Desire Stevens,,,F,,,,,"April 2, 1824",,,,,,,,,,,,,,,,,,,,,,,
7708,Cynthia Maria Stevens,,,F,,,,,"January 12, 1822",,,,,,,,,,,,,,,,,,,,,,,
7709,Robert Woodruff Condit,,,M,,Hanover,NJ,United States,"September 9, 1795","February 11, 1871",,,,,,"Reverend Robert Woodruff Condit was born September 9, 1795 and died February 11, 1871. In 1820 he married Harriet Whittlesey Condit, a student of the Litchfield Female Academy.",,,,Robert was the cousin of Litchfield Law School student Jacob A. Condit. ,,,,,Religious Calling,,,,,,,
7710,Thomas Tucker,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7711,Hannah Bartow Tucker,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7712,Luther Holley,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7713,Sarah Dakin Holley,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7714,Joshua Holley,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7715,Jerusha Watrous Swift,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7716,J.M. Arntz,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7717,John Hopkins (1819-1880),,,M,,Fort Hamilton,NY,United States,"April 27, 1819","December 17, 1880",,,,,,,,,,,,,,,,Catskill/NY/United States,,Elizabeth Kinsley/,,,,
7718,Elizabeth Kinsley,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7719,Caleb Hopkins,,,M,,Truro,MA,United States,"January 2, 1780","October 23, 1852",,,,,,"Caleb Hopkins was born in Truro, Massachusetts on January 2, 1780. He later moved to Catskill, New York where he married Keturah (Hill). They had 9 children. He died October 23, 1852.",,Caleb Hopkins.jpg,,,,,,,,Catskill/NY/United States,,Keturah Hill Hopkins/,,,Caleb Hopkins,
7720,Keturah Hill Hopkins,,,F,,Catskill,NY,United States,1784,"January 19, 1878",,,,,,"Keturah Hill Hopkins was born to Hyland Hill and Keturah (Waterhouse) in 1789 in Catskill, New York. She married Caleb Hopkins and they had 9 children. She died January 19, 1878.",,Keturah Hill Hopkins.jpg,,,,,,,,Catskill/NY/United States,,,,,Keturah Hill Hopkins,
7721,Abel Brace,,,M,,Litchfield,CT,United States,"October 7, 1794","October 23, 1863","Studied medicine with Dr. Thomas O'Hara Croswell in Catskill, NY.",,,,,"Abel Brace was born in Litchfield, Connecticut on October 7, 1794 to James and Susan Pierce Brace. Abel was the second of five children, and the second son to be born into the family. Two years prior to his birth, Abel's aunt, Sarah Pierce, founded the Litchfield Female Academy. His older brother, John Pierce Brace would later play a pivotal role in assisting in the education of countless numbers of students at that school.     At a young age, Abel traveled to Catskill, New York where he studied medicine with his uncle Dr. Thomas O'Hara Croswell, the first physician in Catskill. After completing his studies with Dr. Croswell, Abel began practicing medicine in Catskill as well, and continued in that profession for the remainder of his life. In addition to his personal practice, by the late 1820s he and Dr. Croswell were operating a drug store in Catskill together as well (Dr. Croswell had opened the drug store around the year 1795).     On April 18, 1817 at the age of twenty-two Abel was married for a second time to Betsey Doane with whom he had at least seven children. On October 23, 1863 Abel passed away in Catskill.",,Abel Brace.jpg,,Abel Brace is buried in the Catskill Village Cemetery.,,,,,Doctor,Catskill/NY/United States,,"Betsey Doane Brace/April 18, 1817",,,Abel Brace,
7722,Betsey Doane Brace,,Elizabeth Doane; Elizabeth Doane Brace,F,,,,,"October 23, 1795","July 12, 1881",,,,,,"Betsey Doane Brace was the daughter of John Doane and Eunice Tuttle Doane. Born on October 23, 1795 Betsey was the first of John Doane's fourteen children. She later married Dr. Abel Brace of Catskill, New York. According to family tradition, Betsey attended the Litchfield Female Academy as a young woman. In 1817 she was married to Abel Brace, a Doctor practicing in Catskill, NY, and a nephew of Sarah Pierce and brother of John Pierce Brace. During their marriage Abel and Betsey had several children. Following Abel's death in 1863 Betsey lived with her brother George in Catskill for a time. She passed away in Catskill on July 12, 1881. ",[We are currently working to update and confirm citations of attendance.],Betsy Brace.jpg,,Betsey Brace is buried in the Catskill Village Cemetery.,,,"'We went from Albany to Catskill a week ago last Wednesday a most dreadful day - the newspapers stated that it was the coldest morning that has been known for these many years, and had I known it was so very cold I should have suffered most amazingly - but as it was we got along very comfortably. We found all our dear friends in Catskill very well - my new sister [Bestey Doane Brace] is a dear sweet creature, I lover her very much - she and my brother [Abel Brace] stay with my Aunt this winter, but they will go to housekeeping the first of May - how I long to have you become acquainted with her and my brother. I know you will love her.'    - Anna Brace Loring to Charles Greely Loring, Litchfield, 23 February 1818 (Private Collection)",,,Catskill/NY/United States,,,,Unknown,Anna Brace Loring letter;Painted fabric and leather 'Old Woman who Lived in a Shoe';Betsey Doane Brace,
7724,John Doane,,,M,,,CT,United States,"June 24, 1769",,,,,,,"John Doane and his first wife, Eunice, had five children during their marriage. John had nine children with his second wife, Eliza Todd.",,,,,,,,,,/NY/United States,,Eliza Todd Doane/;Eunice Tuttle Doane/1793,,,,
7725,Eunice Tuttle Doane,,,F,,,,,ca. 1776,"May 11, 1804",,,,,,,,,,,,,,,,,,,,,,
7726,Eliza Todd Doane,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7727,Lindsley Beach,,,M,,,,,"March 12, 1819","February 17, 1868",,,,,,,,,,Lindsley is buried in the Catskill Village Cemetery.,,,,,,,,,,,,
7728,Henry M. Brace,,Henry Martyn Brace,M,,Catskill,NY,United States,"May 20, 1828","July 10, 1901",Graduate from Yale in 1847,,,,,"Henry M. Brace, son of Abel Brace and Betsey Doane Brace, was born on May 20, 1828. After graduating from Yale in 1847 he taught school in his hometown for three years, then studied law in an office in New York City, and was admitted to the bar in November of 1851. He continued the active practice of his profession until feeble health cause him to retire. In 1855 he wed Emeline C. Demarest, and the couple had one son. Henry M. Brace died from acute bronchitis, at Catskill, New York, on July 10, 1901. ",,,,,,,,,Lawyer,New York/NY/United States,,Emeline C. Demarest/1855,,,,
7729,Anna Brace Fitch,,,F,,Catskill,NY,United States,,,,,,,,,,,,"Anna Brace's marriage to Ives Fitch took place at her father's home. Witness included the family of Dr. Brace, and friends.     Ives Fitch and Anna Brace Fitch were divorced in 1865.",,,,,,,,Ives Fitch/,,,,
7730,Elizabeth Brace,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7731,Ives Fitch,,,M,,Pratsville,NY,United States,,,,,,,,,,,,"The marriage of Ives Fitch and Anna Brace Fitch took place in Catskill at Anna's father's house. Witnesses included Dr. Brace's family, and friends.    Ives Fitch and Anna Brace Fitch were divorced in 1865.",,,,,,,,,,,,
7732,Emma Haywood Alston,,,F,,,,,June 1838,"January 29, 1904",,,,,,,,,,,,,,,,Reno/TX/USA,,"Nathaniel A. Williams/Warren County, NC",,,,
7733,Nathaniel A. Williams,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7734,Emeline C. Demarest,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7735,Eliza Rankin Thorne,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7736,Mrs. Halliday Crosby,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7737,Ruth Pierce Croswell,,,F,,Litchfield,CT,USA,"February 22, 1765","January 7, 1862",,,,,,"Ruth Pierce was born in Litchfield, Connecticut February 22, 1765 to John Pierce and his first wife Mary Paterson Pierce. She was Sarah Pierce's older sister. She married Dr. Thomas O'Hara Croswell in 1791 and moved with him to Catskill, New York the following year. They had one adopted daughter. She died January 7, 1862.    Ruth Pierce claimed that she attended George Washington's inauguration on April 30, 1789 by special invitation.",,Ruth Pierce.jpg,,,,,,,,Catskill/NY/USA,,"Thomas O'Hara Croswell/July 18, 1791",,,Ruth Pierce Croswell,
7738,Timothy Pierce,,,M,,Litchfield,CT,USA,1774,1801,,,,,,"Timothy Pierce was born in Litchfield, Connecticut in 1774. He was the first child from his father, John Pierce's second marriage, with Mary Goodman. He had two siblings, and five half-siblings, one of them being Sarah Pierce. He began a medical practice in South Carolina and died there in 1801.",,Timothy Pierce.jpg,,,,,"'School consisting of 15 only -- now there are so few I hope the native ladies of Litchfield may stand some chance for a part at least of the attention of Mr. Reeve's students.'  Said to James Pierce regarding the romantic competition between local Litchfield women and Litchfield Female Academy students for Litchfield Law School's male students, 1800.  Emily Noyes Vanderpoel, <U>Chronicles of a Pioneer School from 1792 to 1833: Being the History of Miss Sarah Pierce and her Litchfield School (1903)</U> p.378.     'Does Polly [Mary] Pierce attract the attention of any buck in particular yet? Or is she still obliged to rely on other folks' sweethearts for the amusement of her evenings? Has she nothing to do but look on from 6 o'clock till 10 to see other folks court?'  Said to James Pierce, 1800.  ",,,/SC/,,,,,Timothy Pierce,
7739,Mary Paterson Pierce,,,F,,,,,"December 5, 1731",1770,,,,,,"Mary Paterson Pierce was the daughter of Major John Paterson and Ruth Bird Paterson of Wethersfield and Farmington, Connecticut. She married John Pierce in 1750 or 1751. The couple moved to Litchfield, CT in 1753 or 1754. She had one son, following by five daughters, of whom Sarah Pierce was the youngest. Mary Paterson Pierce passed away in 1770.",,,,,,,,,,Litchfield/CT/USA,,,,,,
7740,Anna Pierce,,Nancy Pierce,F,,Litchfield,CT,USA,1758,1802,,,,,,,,,,,,,,,,,,,,,,
7741,Susan Pierce,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7742,John Pierce Jr.,,,M,,Litchfield,CT,USA,"December 3, 1752","August 1, 1788",,,,,,"John Pierce Jr. was the first and only son of John Pierce and Mary Paterson Pierce. He was born at his maternal grandfather's home in Farmington, Connecticut on December 3, 1752. Soon after his birth, his parents moved to Litchfield, Connecticut. In 1770 John Pierce, Jr.'s mother passed away. His father remarried two years later to Mary Goodman.     In 1775 Pierce joined the Continental Army. By 1776 he had become Assistant Paymaster General, and in 1779 was appointed to the position of Deputy Paymaster General. In 1781 he was named Paymaster General, and ably served his duty until his death in 1788. As Paymaster General John Pierce, Jr. oversaw the paying of more than 93,000 certificates amounting to more than 10 million dollars in deferred pay. Additionally, in 1781 Pierce was entrusted with the task of settling the armies accounts after it was disbanded. By 1787 Congress combined the offices of the Paymaster General and the Commissioner of Army Accounts.    In 1783, Pierce's father passed away and as heir and the oldest of 8 children, he became responsible for his step-mother and younger siblings. Working to achieve financial stability for his family to enable himself to marry Ann Bard in 1786, Pierce brought his sisters Sarah and Nancy (or Anna) to New York City to receive a higher education and to train to become teachers. After John Pierce, Jr.'s sisters returned home to Litchfield, Connecticut, his sister Sarah began the school that would become known as the Litchfield Female Academy. John Pierce Jr. died August 1, 1788. He was thirty five years old and was only married for two years. John's early death left the Pierce family again in financial troubles, but due to John Pierce Jr.'s funding and motivation, the Pierce family found great success in the Litchfield Female Academy, which educated more than three thousand young adults.",,,,,"Information from Chronicles of a New England School and The Papers of Robert Morris, 1781-1784, August-September 1781, footnote #49.",,"'I have flattered myself that my business would have permitted me to visit my friends. and for a moment get away from the thorny and perplexed paths of a public life, but I cannot, and indeed, advantage might be taken of my absence to ruin me ... whim and injustice have induced some and perhaps my own unworthiness, others to write it. I thought that when I did justice to all and followed the strict line of integrity that then 'full sure my greatness would be ripening' - but such characters they oft must meet with disappointment and trouble - if I survive this war with reputation; joyfully in deed I will retire to my friends and domestic peace, and I bid a final adieu to ambition, and to the craft deceit and false friendships of a court.'  - Letter, John Pierce, Jr. to Oliver Wolcott, Jr, 23 August 1782 (Connecticut Historical Society)",,Military;Political Office,New York/NY/USA,,"Ann Bard Pierce/November 6, 1786",,,,
